Year,Host,Champion,Winning coach,Top scorer(s),Player of the Tournament
1960,France,Soviet Union,Gavriil Kachalin,François Heutte  (2)  Valentin Ivanov  (2)  Viktor Ponedelnik  (2)  Milan Galić  (2)  Dražan Jerković  (2),
1964,Spain,Spain,José Villalonga,Ferenc Bene  (2)  Dezső Novák  (2)  Jesús María Pereda  (2),
1968,Italy,Italy,Ferruccio Valcareggi,Dragan Džajić  (2),
1972,Belgium,West Germany,Helmut Schön,Gerd Müller  (4),
1976,Yugoslavia,Czechoslovakia,Václav Ježek,Dieter Müller  (4),
1980,Italy,West Germany,Jupp Derwall,Klaus Allofs  (3),
1984,France,France,Michel Hidalgo,Michel Platini  (9),
1988,West Germany,Netherlands,Rinus Michels,Marco van Basten  (5),
1992,Sweden,Denmark,Richard Møller Nielsen,Henrik Larsen  (3)  Karl-Heinz Riedle  (3)  Dennis Bergkamp  (3)  Tomas Brolin  (3),
1996,England,Germany,Berti Vogts,Alan Shearer  (5),Matthias Sammer
2000,Belgium  Netherlands,France,Roger Lemerre,Patrick Kluivert  (5)  Savo Milošević  (5),Zinedine Zidane
2004,Portugal,Greece,Otto Rehhagel,Milan Baroš  (5),Theodoros Zagorakis
2008,Austria  Switzerland,Spain,Luis Aragonés,David Villa  (4),Xavi
2012,Poland  Ukraine,Spain,Vicente del Bosque,Mario Mandžukić  (3)  Mario Gómez  (3)  Mario Balotelli  (3)  Cristiano Ronaldo  (3)  Alan Dzagoev  (3)  Fernando Torres  (3),Andrés Iniesta
2016,France,Portugal,Fernando Santos,Antoine Griezmann  (6),Antoine Griezmann
